estado,municipio,cve_inegi,Pob_Indigena,Mayoria_indigena,grado_escolar,grado_escolar_h,grado_escolar_m,Entre_3_5_En_escuela,Entre_3_5_En_escuela_Hombres,Entre_3_5_En_escuela_Mujeres,Mas_15_con_Sec,Mas15H,Mas15M,PEA,PEA_H,PEA_M
Oaxaca,San Juan Yatzona,20223,95.13,Indigena,5.27,5.44,5.15,0.48,0.65,0.2,0.13,0.15,0.12,37.83,73.47,10.82
Oaxaca,Santa Ana Yareni,20359,94.56,Indigena,4.7,5.22,4.36,1.25,1,1.83,0.15,0.15,0.15,10.93,20.15,4.94
Oaxaca,San Juan Mixtepec.,20209,93.95,Indigena,4.05,4.59,3.74,0.65,0.5,0.77,0.09,0.09,0.08,42.86,72.56,24.72
Oaxaca,Santiago Atitlan,20454,93.84,Indigena,5.27,5.72,4.81,0.71,0.67,0.76,0.17,0.2,0.15,35.56,66.19,4.32
Oaxaca,San Lucas Quiavini,20233,93.81,Indigena,3.84,4.29,3.54,0.7,0.55,1,0.07,0.09,0.06,35.2,65.71,15.08
Oaxaca,San Miguel Quetzaltepec,20275,93.61,Indigena,4.39,4.93,3.86,0.66,0.6,0.72,0.16,0.18,0.14,40.1,74.72,5.44
Oaxaca,Asuncion Cacalotepec,20003,93.47,Indigena,5.5,6.2,4.9,0.53,0.48,0.59,0.17,0.2,0.13,35.86,64.39,10.89
Oaxaca,San Lucas Camotlan,20231,93.16,Indigena,4.77,5.06,4.48,0.38,0.38,0.39,0.16,0.17,0.15,31.9,61.9,2.62
Oaxaca,San Miguel Aloapam,20260,92.97,Indigena,4.87,5.55,4.3,1.17,1.22,1.11,0.19,0.25,0.15,34.78,63.55,10.33
Oaxaca,San Andres Yaa,20100,92.96,Indigena,4.42,4.7,4.18,1.2,0.8,0.76,0.09,0.12,0.07,43.27,76.7,14.58
Oaxaca,San Francisco Logueche,20146,92.84,Indigena,4.93,5.6,4.39,0.8,0.8,0.8,0.27,0.29,0.26,41.31,61.5,24.69
Oaxaca,San Juan Yaee,20222,92.81,Indigena,5.46,6.03,4.98,1.2,1.13,1.28,0.15,0.19,0.11,47.75,73.69,25.32
Oaxaca,Mixistlan de la Reforma,20060,92.78,Indigena,5.41,5.69,5.16,0.99,1,0.98,0.24,0.25,0.24,55.16,73.25,38.91
Puebla,Camocuautla,21028,92.57,Indigena,4.53,4.81,4.26,1.01,1.02,1,0.15,0.17,0.14,35.32,66.71,5.52
Puebla,Atlequizayan,21080,92.55,Indigena,5.01,5.64,4.48,1.13,1.24,1.02,0.12,0.14,0.11,34.27,67.04,6.5
Oaxaca,San Miguel Yotao,20288,92.47,Indigena,5.46,5.98,5,0.75,0.67,0.89,0.11,0.11,0.11,33.26,51.69,16.59
Oaxaca,Santa Maria Temaxcalapa,20432,92.46,Indigena,5.95,6.52,5.45,0.77,0.75,0.82,0.19,0.22,0.16,49.56,73.46,28.44
Oaxaca,Abejones,20001,92.34,Indigena,5.46,6.32,4.8,0.81,1.05,0.65,0.18,0.2,0.16,22.19,39.02,8.9
Oaxaca,San Pedro Ocotepec,20323,92.32,Indigena,5.45,5.91,5.01,0.45,0.43,0.47,0.16,0.17,0.15,24.33,47.12,2.85
Oaxaca,San Jose Lachiguiri,20170,92.23,Indigena,3.72,4.19,3.36,0.38,0.38,0.38,0.13,0.16,0.12,16.75,26.25,9.12
